mem_addr,lat,lon,gps_altitude,baro_altitude,temp,pres,timestamp,aux_data,realtime
700,0.0000000000,0.0000000000,0.0000000000,447.0000000000,0.0000000000,0.0000000000,28377,1073741824,21.30
720,0.0000000000,0.0000000000,0.0000000000,457.0000000000,0.0000000000,0.0000000000,28878,1073741824,21.80
740,0.0000000000,0.0000000000,0.0000000000,467.0000000000,0.0000000000,0.0000000000,29379,1073741824,22.30
760,0.0000000000,0.0000000000,0.0000000000,477.0000000000,0.0000000000,0.0000000000,29880,1073741824,22.80
780,0.0000000000,0.0000000000,0.0000000000,487.0000000000,0.0000000000,0.0000000000,30381,1073741824,23.30
7A0,0.0000000000,0.0000000000,0.0000000000,496.0000000000,0.0000000000,0.0000000000,30882,1073741824,23.80
7C0,0.0000000000,0.0000000000,0.0000000000,506.0000000000,0.0000000000,0.0000000000,31383,1073741824,24.30
7E0,0.0000000000,0.0000000000,0.0000000000,516.0000000000,0.0000000000,0.0000000000,31884,1073741824,24.80
800,0.0000000000,0.0000000000,0.0000000000,526.0000000000,0.0000000000,0.0000000000,32547,1073741824,25.47
820,0.0000000000,0.0000000000,0.0000000000,536.0000000000,0.0000000000,0.0000000000,33048,1073741824,25.97
840,0.0000000000,0.0000000000,0.0000000000,546.0000000000,0.0000000000,0.0000000000,33549,1073741824,26.47
860,0.0000000000,0.0000000000,0.0000000000,556.0000000000,0.0000000000,0.0000000000,34050,1073741824,26.97
880,0.0000000000,0.0000000000,0.0000000000,566.0000000000,0.0000000000,0.0000000000,34551,1073741824,27.47
8A0,0.0000000000,0.0000000000,0.0000000000,575.0000000000,0.0000000000,0.0000000000,35052,1073741824,27.97
8C0,0.0000000000,0.0000000000,0.0000000000,585.0000000000,0.0000000000,0.0000000000,35553,1073741824,28.47
8E0,0.0000000000,0.0000000000,0.0000000000,595.0000000000,0.0000000000,0.0000000000,36054,1073741824,28.97
900,0.0000000000,0.0000000000,0.0000000000,605.0000000000,0.0000000000,0.0000000000,36716,1073741824,29.64
920,0.0000000000,0.0000000000,0.0000000000,615.0000000000,0.0000000000,0.0000000000,37217,1073741824,30.14
940,0.0000000000,0.0000000000,0.0000000000,625.0000000000,0.0000000000,0.0000000000,37718,1073741824,30.64
960,0.0000000000,0.0000000000,0.0000000000,635.0000000000,0.0000000000,0.0000000000,38219,1073741824,31.14
980,0.0000000000,0.0000000000,0.0000000000,645.0000000000,0.0000000000,0.0000000000,38720,1073741824,31.64
